name,artist,track_id,instrumentalness,danceability,energy,liveness,loudness,acousticness,valence,speechiness,tempo,key,time_signature,length,popularity,mood,mood_map,cluster
Kiss Me More (feat. SZA),Doja Cat,748mdHapucXQri7IAO8yFK,0.000158,0.762,0.701,0.123,-3.541,0.235,0.742,0.0286,110.968,8,4,208866,92,Energetic,2,2
seaside_demo,SEB,73M0rMVx5CWE8M4uATSsto,0.000133,0.706,0.824,0.111,-7.959,0.355,0.86,0.0694,94.98,0,4,132000,54,Energetic,2,2
Shivers,Ed Sheeran,6bQfNiqyCX7UaQSvVVGo4I,0.0,0.788,0.859,0.0424,-2.724,0.281,0.822,0.0856,141.02,2,4,207853,78,Energetic,2,2
Heat Waves,Glass Animals,02MWAaffLxlfxAUY7c5dvx,6.7e-06,0.761,0.525,0.0921,-6.9,0.44,0.531,0.0944,80.87,11,4,238805,85,Energetic,2,2
Electric Love,BØRNS,2GiJYvgVaD2HtM8GqD9EgQ,0.00137,0.611,0.797,0.26,-7.627,0.00543,0.518,0.0533,120.041,6,4,218106,82,Energetic,2,2
Put Your Records On,Ritt Momney,1fah1uAs7HeTYDlNftKr3K,0.00101,0.399,0.492,0.11,-10.777,0.058,0.159,0.0538,91.066,6,4,210463,1,Energetic,2,2
SUPERBLOOM,MisterWives,2HvtedoEeymVWrBPyAMNwZ,0.000387,0.558,0.889,0.328,-3.945,0.191,0.716,0.102,170.102,8,4,213546,70,Energetic,2,2
Sheesh!,Surfaces,3ddNKnYpVx0uI8vcwbTQ5Y,0.0,0.743,0.832,0.0925,-3.937,0.161,0.801,0.0611,149.951,5,4,148846,75,Energetic,2,2
I Don't Wanna Talk (I Just Wanna Dance),Glass Animals,6IbCvfmmICEEAyDwQ9zcbt,5.53e-05,0.703,0.624,0.299,-6.228,0.0156,0.808,0.0364,131.966,7,4,195190,63,Energetic,2,2
Save Your Tears (with Ariana Grande) (Remix),The Weeknd,37BZB0z9T8Xu7U3e65qxFy,2.44e-05,0.65,0.825,0.0936,-4.645,0.0215,0.593,0.0325,118.091,0,4,191013,91,Energetic,2,2
A-O-K,Tai Verdes,4CbrNGvwVjneG8Nk9YQqMR,0.0,0.731,0.626,0.183,-6.919,0.125,0.862,0.0805,82.488,11,4,173640,74,Energetic,2,2
Mariposa,Peach Tree Rascals,4ja2gzrNh9VNigzoXfmbwD,0.0,0.676,0.525,0.356,-5.88,0.617,0.421,0.028,112.011,9,4,210000,75,Energetic,2,0
Love Again,Dua Lipa,1imMjt1YGNebtrtTAprKV7,2.85e-05,0.659,0.667,0.1,-4.668,0.00173,0.468,0.0339,115.982,11,4,258004,79,Energetic,2,2
I Like That,Bazzi,2RkZZh5XQ4y3sG8gCu96Tz,0.0,0.665,0.692,0.191,-5.431,0.172,0.68,0.112,74.474,6,4,158083,75,Energetic,2,2
Wave of You,Surfaces,5Ne1q9Hv3l2NHBA3Agt8WT,0.0,0.695,0.656,0.267,-6.038,0.057,0.346,0.0489,90.986,1,4,213842,72,Energetic,2,2
Take My Breath,The Weeknd,6OGogr19zPTM4BALXuMQpF,2.18e-05,0.748,0.74,0.101,-6.01,0.0107,0.518,0.0484,121.004,8,4,220196,90,Energetic,2,2
Let's Fall in Love for the Night,FINNEAS,7kQkmyoHCEqwe7QwDbkSXM,0.0,0.737,0.408,0.171,-7.941,0.802,0.374,0.104,127.921,5,4,190348,72,Energetic,2,0
Blueberry Eyes (feat. SUGA of BTS),MAX,5dn6QANKbf76pANGjMBida,0.000922,0.746,0.611,0.133,-7.034,0.454,0.411,0.101,149.967,0,4,172244,70,Energetic,2,2
dancing in the kitchen,LANY,0ohcCrxZkBfFbkuRPOZQZX,0.0,0.619,0.736,0.0864,-7.651,0.0328,0.299,0.0425,93.993,11,4,208599,75,Energetic,2,2
Missing Piece,Vance Joy,0YYg6U1Yrd4UjnG5iVhiXh,4.84e-06,0.633,0.843,0.113,-5.676,0.0142,0.748,0.046,101.982,0,4,217408,68,Energetic,2,2
working,Tate McRae,31sSFHIe4NaxltVFOEIcTa,0.0,0.783,0.435,0.0833,-7.78,0.282,0.512,0.0588,106.974,7,4,210219,78,Energetic,2,2
Stay Next To Me (with Chelsea Cutler),Quinn XCII,6SGG5AxHShqSYiV9fCWpZz,0.0,0.581,0.584,0.366,-4.928,0.0805,0.756,0.284,179.954,2,4,206045,68,Energetic,2,2
Levitating (feat. DaBaby),Dua Lipa,463CkQjx2Zk1yXoBuierM9,0.0,0.702,0.825,0.0674,-3.787,0.00883,0.915,0.0601,102.977,6,4,203064,87,Energetic,2,2
Watermelon Sugar,Harry Styles,6UelLqGlWMcVH1E5c4H7lY,0.0,0.548,0.816,0.335,-4.209,0.122,0.557,0.0465,95.39,0,4,174000,88,Energetic,2,2
STAY (with Justin Bieber),The Kid LAROI,5HCyWlXZPP0y6Gqq8TgA20,0.0,0.591,0.764,0.103,-5.484,0.0383,0.478,0.0483,169.928,1,4,141805,100,Energetic,2,2
Summer of Love (Shawn Mendes & Tainy),Shawn Mendes,0z8hI3OPS8ADPWtoCjjLl6,0.000127,0.776,0.808,0.103,-4.501,0.0297,0.494,0.117,123.988,11,4,184104,86,Energetic,2,2
3 Nights,Dominic Fike,1tNJrcVe6gwLEiZCtprs1u,0.0,0.815,0.518,0.104,-6.594,0.223,0.877,0.0897,151.891,7,4,177666,75,Energetic,2,2
Cloudy Day,Tones And I,0mA7zotmg2ZFMRALljdZsS,2.81e-06,0.705,0.776,0.0246,-6.096,0.0643,0.366,0.0445,116.011,4,4,185303,71,Energetic,2,2
You (with Marshmello & Vance Joy),benny blanco,1GkHyypTFkUf0QQKwYoXH4,0.0,0.668,0.563,0.119,-6.433,0.0493,0.305,0.0522,103.116,11,4,169632,71,Energetic,2,2
Don't Go Yet,Camila Cabello,1058fW9H3fZA6QjYCdOBad,0.0,0.666,0.796,0.0442,-6.967,0.0492,0.61,0.103,110.108,10,4,164842,88,Energetic,2,2
Leave Before You Love Me (with Jonas Brothers),Marshmello,4qu63nuBpdn0qHUHuObEj1,4.41e-06,0.721,0.738,0.118,-4.77,0.00226,0.637,0.0403,119.976,7,4,154983,87,Energetic,2,2
Catching Feelings (feat. Six60),Drax Project,02VHspkXhhH1QCInRWWIfr,0.0,0.397,0.524,0.157,-5.846,0.607,0.343,0.103,175.562,3,4,218854,55,Energetic,2,0
Safe With Me (with Audrey Mika),Gryffin,6Skh3CBum0pZw9TOr7FQnX,0.0,0.497,0.757,0.119,-4.189,0.0449,0.507,0.127,169.902,11,4,205164,72,Energetic,2,2
Know Your Worth,Khalid,0TrPqhAMoaKUFLR7iYDokf,0.00252,0.79,0.694,0.281,-7.726,0.145,0.508,0.0708,103.007,9,4,181436,75,Energetic,2,2
Way Less Sad,AJR,4jbtL4tjkqghUvJknUqU1s,0.0,0.701,0.547,0.0987,-8.238,0.00843,0.4,0.0483,140.015,2,4,206108,68,Energetic,2,2
Fly Away,Tones And I,1jgu8MFTEGdL1wjw9gZj5y,0.0,0.805,0.515,0.238,-6.201,0.223,0.488,0.0915,124.969,4,4,178156,61,Energetic,2,2
The Bones - with Hozier,Maren Morris,1yTTMcUhL7rtz08Dsgb7Qb,0.0,0.561,0.597,0.0979,-6.0,0.286,0.355,0.0405,76.826,11,4,197298,71,Energetic,2,2
survivin',Bastille,1lwvJQGhdq6Kyr4BBquf23,0.0,0.787,0.78,0.0908,-5.023,0.25,0.68,0.129,95.035,7,4,173206,68,Energetic,2,2
Anyone,Justin Bieber,31qCy5ZaophVA81wtlwLc4,3.13e-06,0.686,0.538,0.113,-8.026,0.181,0.584,0.0345,115.884,2,4,190779,79,Energetic,2,2
Heartbreak Anthem (with David Guetta & Little Mix),Galantis,5K6Ssv4Z3zRvxt0P6EKUAP,0.0,0.595,0.784,0.0608,-4.878,0.216,0.479,0.102,124.111,1,4,183725,87,Energetic,2,2
Black And White,Niall Horan,7rpNuuoMbid56XkDsx2FjE,0.0,0.443,0.582,0.127,-6.02,0.0301,0.239,0.0482,147.589,2,4,193089,74,Energetic,2,2
Wild (feat. Gary Clark Jr.),John Legend,4rVW6XqAsSaf5vOwc8FREW,0.0,0.557,0.585,0.176,-6.201,0.036,0.305,0.0431,63.392,8,4,196906,71,Energetic,2,2
Lost,Maroon 5,18XlJEroUwFo0tLZxscgXE,0.00028,0.766,0.706,0.064,-6.553,0.223,0.766,0.16,142.989,7,4,172597,78,Energetic,2,2
Butterflies,MAX,7eQHxigpuDJjCG50JyzU8v,0.0,0.7,0.613,0.0887,-4.041,0.385,0.42,0.0408,88.084,11,4,191250,75,Energetic,2,2
Make You Mine,PUBLIC,5iFwAOB2TFkPJk8sMlxP8g,0.0,0.606,0.799,0.15,-4.452,0.0128,0.638,0.0261,103.014,9,4,232906,76,Energetic,2,2
Glad You Exist,Dan + Shay,472vIK1ldetTxRxG3ovaiY,0.0,0.748,0.551,0.119,-6.12,0.235,0.66,0.0349,103.953,11,4,144533,76,Energetic,2,2
Someone To You,BANNERS,2f0pn9DkEJwAzXApnFh5cr,0.0,0.52,0.903,0.254,-5.497,0.00517,0.652,0.042,74.988,2,4,219801,79,Energetic,2,2
Bad Habits,Ed Sheeran,6PQ88X9TkUIAUIZJHW2upE,3.14e-05,0.808,0.897,0.364,-3.712,0.0469,0.591,0.0348,126.026,11,4,231041,97,Energetic,2,2
Fancy Like,Walker Hayes,3ZozFqJJlDBNIm4xqxn2ZD,0.0,0.649,0.76,0.317,-6.487,0.114,0.843,0.0574,80.018,1,4,161853,83,Energetic,2,2
Remember This,Jonas Brothers,6nACZEZIt1CIBmF09r5Pb5,0.0,0.669,0.629,0.366,-5.018,0.217,0.294,0.0803,110.865,1,4,178221,72,Energetic,2,2
Freedom,Kygo,5Gj1wG8b12VQdEd3hUuSwo,0.0,0.715,0.635,0.0862,-6.591,0.127,0.39,0.0791,112.887,7,4,198635,71,Energetic,2,2
Holy (feat. Chance The Rapper),Justin Bieber,5u1n1kITHCxxp8twBcZxWy,0.0,0.673,0.704,0.0898,-8.056,0.196,0.372,0.36,86.919,6,4,212093,79,Energetic,2,2
Little Bit of Love,Tom Grennan,78q4ESvMkPVJzHAV11LAGE,0.0,0.689,0.706,0.105,-4.48,0.0833,0.623,0.0312,106.52,1,4,226268,71,Energetic,2,2
Circles,Post Malone,4VginDwYTP2eaHJzO0QMjG,0.00144,0.704,0.758,0.0924,-3.537,0.233,0.534,0.0402,120.003,0,4,214906,8,Energetic,2,2
Lil Bit,Nelly,0NmuYnjETG3u3qx0OmEJev,0.0,0.707,0.689,0.383,-7.097,0.0255,0.41,0.0387,119.987,4,4,195962,79,Energetic,2,2
Good Things,Dan + Shay,0n2ZsjzilyRjIyCr7Mcgk7,0.0,0.529,0.621,0.173,-6.018,0.13,0.617,0.0296,97.189,11,4,148906,64,Energetic,2,2
Floating Through Space,Sia,2AceGjiX9isUbXmMZa0Dl1,0.0,0.575,0.844,0.114,-4.89,0.00172,0.277,0.072,104.914,6,4,177800,76,Energetic,2,2
Lease On Life,Andy Grammer,763ynRN90zLEp9hrNNINjl,0.0,0.704,0.701,0.126,-5.44,0.0593,0.606,0.0596,88.016,2,4,168162,50,Energetic,2,2
Dance with Me (feat. Thomas Rhett & Young Thug),Diplo,6wXgnhpmOPEJ7cUweSyy2B,0.0,0.73,0.792,0.101,-5.33,0.0264,0.745,0.13,99.039,6,4,170157,70,Energetic,2,2
Don't Break the Heart,Tom Grennan,4tS2pyUXiaTjHK7vCBomyF,0.0,0.726,0.827,0.223,-3.941,0.029,0.479,0.0341,123.003,1,4,229133,67,Energetic,2,2
Chasing Stars (feat. James Bay),Alesso,6y6xhAgZjvxy5kR5rigpY3,0.0,0.594,0.64,0.135,-6.865,0.0169,0.492,0.033,92.871,10,4,170457,77,Energetic,2,2
Be Like That - feat. Swae Lee & Khalid,Kane Brown,5f1joOtoMeyppIcJGZQvqJ,2.58e-05,0.727,0.626,0.126,-8.415,0.0469,0.322,0.0726,86.97,7,4,191406,78,Energetic,2,2
Where Are You Now,Lost Frequencies,3uUuGVFu1V7jTQL60S1r8z,0.000411,0.671,0.636,0.172,-8.117,0.515,0.262,0.103,120.966,6,4,148197,83,Energetic,2,0
Run,OneRepublic,2UbVnbE5FH6008mAm6Mmgw,0.0,0.682,0.72,0.148,-8.173,0.326,0.673,0.0381,117.003,11,4,169010,86,Energetic,2,2
